Date,Wastewater_Viral_Load
2/7/2024,71500
2/7/2024,82300
2/7/2024,73400
2/7/2024,30200
2/7/2024,30900
2/7/2024,71300
2/7/2024,35500
2/7/2024,25300
2/7/2024,52200
2/8/2024,8930
2/12/2024,85500
2/12/2024,67100
2/12/2024,45800
2/12/2024,40200
2/12/2024,15100
2/14/2024,42200
2/14/2024,31100
2/14/2024,55600
2/14/2024,19900
2/14/2024,37200
2/15/2024,67400
2/15/2024,58000
2/15/2024,44100
2/15/2024,58400
2/15/2024,50100
2/15/2024,51400
2/15/2024,62800
2/15/2024,22500
2/15/2024,8240
2/15/2024,32200
2/18/2024,48000
2/18/2024,47200
2/18/2024,31900
2/18/2024,11700
2/18/2024,2900
2/18/2024,60800
2/19/2024,34300
2/19/2024,66400
2/19/2024,51400
2/19/2024,49100
2/19/2024,71400
2/20/2024,63700
2/20/2024,65200
2/20/2024,106000
2/20/2024,106000
2/20/2024,3590
2/21/2024,55600
2/21/2024,43400
2/21/2024,44200
2/21/2024,28300
2/21/2024,104000
2/21/2024,35400
2/26/2024,66300
2/26/2024,35000
2/26/2024,43600
2/26/2024,36900
2/26/2024,83000
2/27/2024,27900
2/27/2024,34700
2/27/2024,82500
2/27/2024,50800
2/27/2024,24200
2/27/2024,63900
2/28/2024,53000
2/28/2024,147000
2/28/2024,45600
2/28/2024,48900
2/28/2024,72000
2/28/2024,43300
2/28/2024,75900
2/28/2024,39300
2/28/2024,28000
2/28/2024,62900
2/28/2024,23500
3/4/2024,43100
3/4/2024,66500
3/4/2024,58400
3/4/2024,67800
3/4/2024,80700
3/4/2024,26900
3/5/2024,15800
3/5/2024,63300
3/5/2024,102000
3/5/2024,79500
3/5/2024,96200
3/5/2024,33600
3/6/2024,74900
3/6/2024,42000
3/6/2024,34400
3/6/2024,78500
3/7/2024,30100
3/7/2024,42000
3/7/2024,219000
3/7/2024,56500
3/7/2024,65400
3/7/2024,175000
3/11/2024,349000
3/11/2024,183000
3/11/2024,110000
3/11/2024,219000
3/11/2024,110000
3/11/2024,627000
3/12/2024,94100
3/12/2024,141000
3/12/2024,203000
3/12/2024,105000
3/12/2024,278000
3/13/2024,86300
3/13/2024,116000
3/13/2024,75500
3/13/2024,147000
3/13/2024,108000
3/13/2024,83500
3/13/2024,98100
3/13/2024,80100
3/13/2024,86100
3/13/2024,161000
3/14/2024,298000
3/18/2024,132000
3/18/2024,39400
3/18/2024,56600
3/18/2024,50700
3/18/2024,96000
3/18/2024,160000
3/20/2024,49200
3/20/2024,68900
3/20/2024,72900
3/20/2024,54900
3/20/2024,77900
3/20/2024,63400
3/20/2024,58200
3/20/2024,78800
3/20/2024,51600
3/20/2024,46800
3/21/2024,77700
3/21/2024,51300
3/21/2024,55700
3/21/2024,74200
3/21/2024,241000
3/21/2024,184000
3/26/2024,136000
3/26/2024,99000
3/26/2024,70300
3/26/2024,32200
3/26/2024,53900
3/26/2024,142000
3/26/2024,24000
3/26/2024,57100
3/26/2024,71800
3/26/2024,68700
3/26/2024,195000
3/27/2024,93500
3/27/2024,76900
3/27/2024,95100
3/27/2024,65300
3/27/2024,61400
3/28/2024,14300
3/28/2024,28500
3/28/2024,41400
3/28/2024,38400
3/28/2024,48500
3/28/2024,114000
4/1/2024,115000
4/1/2024,112000
4/1/2024,141000
4/1/2024,36000
4/1/2024,47800
4/1/2024,90800
4/2/2024,28300
4/2/2024,50800
4/2/2024,64800
4/2/2024,80200
4/2/2024,48800
4/3/2024,29500
4/3/2024,41600
4/3/2024,42600
4/3/2024,38600
4/3/2024,36100
4/3/2024,35200
4/3/2024,29200
4/3/2024,30800
4/3/2024,29500
4/3/2024,35100
4/8/2024,37900
4/8/2024,28300
4/8/2024,19800
4/8/2024,33200
4/8/2024,14300
4/8/2024,62100
4/10/2024,60800
4/10/2024,9330
4/10/2024,54200
4/10/2024,34800
4/10/2024,75200
4/11/2024,24500
4/11/2024,22400
4/11/2024,24400
4/11/2024,32000
4/11/2024,29300
4/11/2024,17200
4/11/2024,14500
4/11/2024,21400
4/11/2024,20600
4/11/2024,26900
4/11/2024,31300
4/15/2024,20100
4/15/2024,29600
4/15/2024,15200
4/15/2024,38100
4/15/2024,16500
4/15/2024,9810
4/16/2024,19100
4/16/2024,16600
4/16/2024,12300
4/16/2024,14200
4/16/2024,38500
4/17/2024,36700
4/17/2024,69400
4/17/2024,50200
4/17/2024,27600
4/17/2024,34800
4/18/2024,45400
4/18/2024,41000
4/18/2024,24300
4/18/2024,18000
4/18/2024,57500
4/18/2024,69800
4/22/2024,18600
4/22/2024,18800
4/22/2024,10700
4/22/2024,10900
4/22/2024,13300
4/22/2024,5320
4/23/2024,254000
4/23/2024,29600
4/23/2024,10900
4/23/2024,9570
4/23/2024,18800
4/24/2024,14000
4/24/2024,9940
4/24/2024,11200
4/24/2024,8960
4/24/2024,14400
4/25/2024,52600
4/25/2024,51800
4/25/2024,35400
4/25/2024,8250
4/25/2024,37500
4/25/2024,28300
